SKU;Nome;Categoria;Operação;Montável;Quantidade;Valor_Unitario;Subtotal;Descontos;Valor_Total
7X;Croquete da Sonic (1/2);Z-COMIDAS ANTIGAS;Zig Card;VERDADEIRO;46;32,08;1475,50;12,80;1462,70
7S;Ball de Carne Seca (1/2);Z-COMIDAS ANTIGAS;Zig Card;VERDADEIRO;101;34,00;3434,00;20,40;3413,60
AX;Coffee Negroni;VEDÊ + CAMPARI;Zig Card;FALSO;22;40,00;880,00;12,00;868,00
11487Bl;Alamos Malbec Tinto Argentina;VINHOS;Zig Card;FALSO;1;180,00;180,00;0,00;180,00
11487Bx;JARRA MARGARITA ;AUTORAIS;Zig Card;FALSO;5;60,00;300,00;0,00;300,00
0m;AJUBÁ;Z-AUTORAIS ANTIGOS ;Zig Card;FALSO;6;88,00;528,00;0,00;528,00
AF;Combo gordons;Combos;Zig Card;FALSO;1;440,00;440,00;0,00;440,00
AF;Combo gordons;Combos;Zig Card;FALSO;2;440,00;880,00;0,00;880,00
1148796;NHOQUE DE BATATA;COMIDAS;Zig Card;FALSO;8;34,00;272,00;30,60;241,40
I;Penicilin;CLÁSSICOS;Zig Card;FALSO;151;42,00;6342,00;581,70;5760,30
I;Penicilin;CLÁSSICOS;Zig Card;FALSO;7;42,00;294,00;0,00;294,00
114879x;copo aboá;ab;Zig Card;FALSO;95;10,00;950,00;0,00;950,00
114879v;Caipirinha de Limão;Z- ANTIGOS;Zig Card;FALSO;102;30,00;3060,00;960,00;2100,00
11487Ba;Banzeiro;CLÁSSICOS;Zig Card;FALSO;8;36,00;288,00;21,60;266,40
114879D;MelJericão;Z-AUTORAIS ANTIGOS ;Zig Card;FALSO;31;38,00;1178,00;19,00;1159,00
11487A2;Terraços do Tejo - Branco;VINHOS;Zig Card;FALSO;13;110,00;1430,00;33,00;1397,00
1148797;Pizza Al Tartafue;Z-COMIDAS ANTIGAS;Zig Card;FALSO;7;66,00;462,00;39,60;422,40
11487A5;Calamaco Reserva Tinto Malbec;VINHOS;Zig Card;FALSO;3;260,00;780,00;0,00;780,00
1k;Água;SOFTS;Zig Card;VERDADEIRO;2135;6,00;12810,00;42,00;12768,00
1k;Água;SOFTS;Zig Card;VERDADEIRO;81;6,00;486,00;0,00;486,00
1H;JAGERMEISTER;DOSES;Zig Card;FALSO;14;15,00;210,00;0,00;210,00
1H;JAGERMEISTER;DOSES;Zig Card;FALSO;10;35,00;350,00;0,00;350,00
1H;JAGERMEISTER;DOSES;Zig Card;FALSO;15;15,00;225,00;0,00;225,00
8f;Sol;CERVEJAS;Zig Card;VERDADEIRO;1569;16,18;25388,00;90,20;25297,80
8f;Sol;CERVEJAS;Zig Card;VERDADEIRO;1;18,00;18,00;0,00;18,00
8Y;Jorge Amado;CAIPIRINHAS;Zig Card;FALSO;38;34,00;1292,00;30,60;1261,40
8Y;Jorge Amado;CAIPIRINHAS;Zig Card;FALSO;525;36,00;18900,00;1567,80;17332,20
114879j;Drama Queen - Câncer;VEDÊ SIGNOS;Zig Card;FALSO;229;36,00;8244,00;36,00;8208,00
AT;Combo X-Brasil + Batata Paprica;BURGUERS;Zig Card;VERDADEIRO;106;58,81;6234,00;45,60;6188,40
11487BD;Combo - Arpoador;BURGUERS;Zig Card;VERDADEIRO;41;61,37;2516,00;99,20;2416,80
11487Ay;BATUQUE;AUTORAIS;Zig Card;FALSO;21;44,00;924,00;0,00;924,00
11487By;Negroni Perfeito;VEDÊ + CAMPARI;Zig Card;FALSO;1;44,00;44,00;0,00;44,00
F;Macunaíma;CLÁSSICOS;Zig Card;FALSO;166;30,00;4980,00;444,00;4536,00
114879Q;Pavuna;COMIDAS;Zig Card;FALSO;234;40,00;9360,00;142,00;9218,00
11487Av;Hanami;SUNTORY;Zig Card;FALSO;3;54,00;162,00;0,00;162,00
11487Av;Hanami;SUNTORY;Zig Card;FALSO;4;58,00;232,00;0,00;232,00
1o;Red bull;SOFTS;Zig Card;VERDADEIRO;695;20,00;13900,00;437,00;13463,00
1o;Red bull;SOFTS;Zig Card;VERDADEIRO;65;20,00;1300,00;0,00;1300,00
11487Ae;Choconhaque;CARDÁPIO DE INVERNO;Zig Card;FALSO;6;14,40;86,40;0,00;86,40
11487Ae;Choconhaque;CARDÁPIO DE INVERNO;Zig Card;FALSO;35;16,00;560,00;0,00;560,00
AN;Cheesburger+ chips+Refri;BURGUERS;Zig Card;VERDADEIRO;6;49,90;299,40;59,88;239,52
7K;Boitatá;CAIPIRINHAS;Zig Card;VERDADEIRO;85;33,11;2814,00;0,00;2814,00
11487A1;Terraços do Tejo  Blend- Tinto;VINHOS;Zig Card;FALSO;14;110,00;1540,00;0,00;1540,00
G;Moscow Mule;CLÁSSICOS;Zig Card;FALSO;521;36,00;18756,00;1216,80;17539,20
11487BG;X-Brasil;BURGUERS;Zig Card;VERDADEIRO;83;35,88;2978,00;6,80;2971,20
X;Cuba Libre;Y- OUTROS CLÁSSICOS ;Zig Card;FALSO;28;38,00;1064,00;38,00;1026,00
E;Gin Basil Smash;CLÁSSICOS;Zig Card;FALSO;56;36,00;2016,00;97,20;1918,80
114879V;Soltinho;RELEITURAS;Zig Card;FALSO;10;38,00;380,00;72,20;307,80
114879V;Soltinho;RELEITURAS;Zig Card;FALSO;282;42,00;11844,00;1260,00;10584,00
114879r;Feira Livre - Gemêos;VEDÊ SIGNOS;Zig Card;FALSO;73;46,00;3358,00;0,00;3358,00
11487Ai;Pizza Calabresa;CARDÁPIO DE INVERNO;Zig Card;FALSO;12;58,00;696,00;0,00;696,00
8;Iça Manauara;INTOCAVEIS;Zig Card;FALSO;76;40,00;3040,00;212,00;2828,00
8;Iça Manauara;INTOCAVEIS;Zig Card;FALSO;297;42,00;12474,00;247,80;12226,20
